#def REPORTPATH=$/QAD Addons/BI Report/xxpcwocr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"加工单";"成本要素代码";"成本要素说明";"期初总成";"期间非领料总成";"期间领料总成";"期间一次加权平均成本";"期末总成"
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28347";"34";"制1其他变动";0;246.14328;0;289.36524;289.36524
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28347";"36";"制2其他变动";0;61.53582;0;72.34131;72.34131
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28347";"41";"制1折旧";0;102.5597;0;120.56885;120.56885
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28369";"34";"制1其他变动";0;335.64996;0;394.58904;394.58904
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28369";"36";"制2其他变动";0;83.91249;0;98.64726;98.64726
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28369";"41";"制1折旧";0;139.85415;0;164.4121;164.4121
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28384";"34";"制1其他变动";0;223.76664;0;263.05932;263.05932
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28384";"36";"制2其他变动";0;55.94166;0;65.76483;65.76483
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28384";"41";"制1折旧";0;93.2361;0;109.60805;109.60805
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28389";"34";"制1其他变动";0;246.14328;0;289.36524;289.36524
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28389";"36";"制2其他变动";0;61.53582;0;72.34131;72.34131
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28389";"41";"制1折旧";0;102.5597;0;120.56885;120.56885
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28415";"34";"制1其他变动";0;22.37664;0;26.30592;26.30592
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28415";"36";"制2其他变动";0;5.59416;0;6.57648;6.57648
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28415";"41";"制1折旧";0;9.3236;0;10.9608;10.9608
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28417";"34";"制1其他变动";0;425.15664;0;499.81272;499.81272
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28417";"36";"制2其他变动";0;106.28916;0;124.95318;124.95318
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28417";"41";"制1折旧";0;177.1486;0;208.2553;208.2553
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28456";"34";"制1其他变动";0;22.37664;0;26.30592;26.30592
