#def REPORTPATH=$/QAD Addons/BI Report/xxpctrcz
#def :end
2009;10;¼þ;¼þ;ÆÚ³õ;;;Ôö¼ÓºÏ¼Æ;;;ISS-UNP;;;RCT-PO;;;RCT-TR;;;RCT-WO;;;¼õÉÙºÏ¼Æ;;;ISS-PRV;;;ISS-SO;;;ISS-TR;;;ISS-UNP;;;ISS-WO;;;RCT-PO;;;ÆÚÄ©;;
2009;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;10;ºÅ;Ãû;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É
2009;10;2.16.02.09.00T;82121-SWW7-E210-M1-0002 82121-SWW7-E210-M1-0002;470;0;0;5153;0;0;0;0;0;0;0;0;3453;0;0;1700;0;0;-5261;0;0;0;0;0;-1808;0;0;-3453;0;0;0;0;0;0;0;0;0;0;0;362;0;0
2009;10;2.16.02.11.00T;82531-SWW7-E210-M1-0003 82531-SWW7-E210-M1-0003;470;0;0;5081;0;0;0;0;0;0;0;0;3381;0;0;1700;0;0;-5189;0;0;0;0;0;-1808;0;0;-3381;0;0;0;0;0;0;0;0;0;0;0;362;0;0
2009;10;2.16.02.12.00T;82131-SWW7-E210-M1-0002 82131-SWW7-E210-M1-0002;470;0;0;5081;0;0;0;0;0;0;0;0;3381;0;0;1700;0;0;-5189;0;0;0;0;0;-1808;0;0;-3381;0;0;0;0;0;0;0;0;0;0;0;362;0;0
2009;10;2.16.02.17.00T;82181-SWW7-E210-M1-0001 82181-SWW7-E210-M1-0001;470;0;0;5047;0;0;0;0;0;0;0;0;3349;0;0;1698;0;0;-5157;0;0;0;0;0;-1808;0;0;-3349;0;0;0;0;0;0;0;0;0;0;0;360;0;0
2009;10;2.16.02.21.00T;82171-SWW7-E210-M1-0000 82171-SWW7-E210-M1-0000;470;0;0;4981;0;0;0;0;0;0;0;0;3283;0;0;1698;0;0;-5091;0;0;0;0;0;-1808;0;0;-3283;0;0;0;0;0;0;0;0;0;0;0;360;0;0
2009;10;2.17.01.02.00;81521-SWW7-G510-M1-0003 81521-SWW7-G510-M1-0003;127;0;0;351;0;0;0;0;0;0;0;0;259;0;0;92;0;0;-451;0;0;0;0;0;-192;0;0;-259;0;0;0;0;0;0;0;0;0;0;0;27;0;0
2009;10;2.17.01.03.00;81121-SWW7-G510-M1-0003 81121-SWW7-G510-M1-0003;127;0;0;351;0;0;0;0;0;0;0;0;259;0;0;92;0;0;-451;0;0;0;0;0;-192;0;0;-259;0;0;0;0;0;0;0;0;0;0;0;27;0;0
2009;10;2.17.01.05.00;81531-SWW7-G510-M1-0003 81531-SWW7-G510-M1-0003;127;0;0;351;0;0;0;0;0;0;0;0;259;0;0;92;0;0;-451;0;0;0;0;0;-192;0;0;-259;0;0;0;0;0;0;0;0;0;0;0;27;0;0
2009;10;2.17.01.06.00;81131-SWW7-G510-M1-0003 81131-SWW7-G510-M1-0003;127;0;0;351;0;0;0;0;0;0;0;0;259;0;0;92;0;0;-451;0;0;0;0;0;-192;0;0;-259;0;0;0;0;0;0;0;0;0;0;0;27;0;0
2009;10;2.17.02.02.00;81521-SWW7-G510-M1-0003 81521-SWW7-G510-M1-0003;250;0;0;2769;0;0;0;0;0;0;0;0;1875;0;0;894;0;0;-2857;0;0;0;0;0;-982;0;0;-1875;0;0;0;0;0;0;0;0;0;0;0;162;0;0
2009;10;2.17.02.03.00;81121-SWW7-G510-M1-0003 81121-SWW7-G510-M1-0003;250;0;0;2769;0;0;0;0;0;0;0;0;1875;0;0;894;0;0;-2857;0;0;0;0;0;-982;0;0;-1875;0;0;0;0;0;0;0;0;0;0;0;162;0;0
2009;10;2.17.02.05.00;81531-SWW7-G510-M1-0003 81531-SWW7-G510-M1-0003;250;0;0;2769;0;0;0;0;0;0;0;0;1875;0;0;894;0;0;-2857;0;0;0;0;0;-982;0;0;-1875;0;0;0;0;0;0;0;0;0;0;0;162;0;0
2009;10;2.17.02.06.00;81131-SWW7-G510-M1-0003 81131-SWW7-G510-M1-0003;250;0;0;2769;0;0;0;0;0;0;0;0;1875;0;0;894;0;0;-2857;0;0;0;0;0;-982;0;0;-1875;0;0;0;0;0;0;0;0;0;0;0;162;0;0
2009;10;2.18.02.02.00T; ;866;0;0;3473;0;0;0;0;0;0;0;0;2558;0;0;915;0;0;-4067;0;0;0;0;0;-1509;0;0;-2558;0;0;0;0;0;0;0;0;0;0;0;272;0;0
2009;10;2.18.02.03.00T; ;866;0;0;3473;0;0;0;0;0;0;0;0;2558;0;0;915;0;0;-4067;0;0;0;0;0;-1509;0;0;-2558;0;0;0;0;0;0;0;0;0;0;0;272;0;0
2009;10;2.18.02.05.00; ;358;0;0;1516;0;0;0;0;0;0;0;0;1094;0;0;422;0;0;-1724;0;0;0;0;0;-630;0;0;-1094;0;0;0;0;0;0;0;0;0;0;0;150;0;0
2009;10;2.18.02.06.00; ;358;0;0;1516;0;0;0;0;0;0;0;0;1094;0;0;422;0;0;-1724;0;0;0;0;0;-630;0;0;-1094;0;0;0;0;0;0;0;0;0;0;0;150;0;0
2009;10;2.18.02.08.00T; ;866;0;0;3443;0;0;0;0;0;0;0;0;2528;0;0;915;0;0;-4037;0;0;0;0;0;-1509;0;0;-2528;0;0;0;0;0;0;0;0;0;0;0;272;0;0
2009;10;2.18.02.09.00T; ;869;0;0;3443;0;0;0;0;0;0;0;0;2528;0;0;915;0;0;-4037;0;0;0;0;0;-1509;0;0;-2528;0;0;0;0;0;0;0;0;0;0;0;275;0;0
2009;10;2.18.02.11.00T; ;866;0;0;3473;0;0;0;0;0;0;0;0;2558;0;0;915;0;0;-4067;0;0;0;0;0;-1509;0;0;-2558;0;0;0;0;0;0;0;0;0;0;0;272;0;0
2009;10;2.18.02.12.00T; ;866;0;0;3473;0;0;0;0;0;0;0;0;2558;0;0;915;0;0;-4067;0;0;0;0;0;-1509;0;0;-2558;0;0;0;0;0;0;0;0;0;0;0;272;0;0
2009;10;2.18.02.17.00T; ;866;0;0;3532;0;0;0;0;0;0;0;0;2617;0;0;915;0;0;-4126;0;0;0;0;0;-1509;0;0;-2617;0;0;0;0;0;0;0;0;0;0;0;272;0;0
2009;10;2.18.02.21.00T; ;866;0;0;3501;0;0;0;0;0;0;0;0;2586;0;0;915;0;0;-4095;0;0;0;0;0;-1509;0;0;-2586;0;0;0;0;0;0;0;0;0;0;0;272;0;0
2009;10;2.19.02.05.00; ;508;0;0;1909;0;0;0;0;0;0;0;0;1416;0;0;493;0;0;-2295;0;0;0;0;0;-879;0;0;-1416;0;0;0;0;0;0;0;0;0;0;0;122;0;0
2009;10;2.19.02.06.00; ;508;0;0;1909;0;0;0;0;0;0;0;0;1416;0;0;493;0;0;-2295;0;0;0;0;0;-879;0;0;-1416;0;0;0;0;0;0;0;0;0;0;0;122;0;0
2009;10;3.01.07.01.00F; ;0;0;0;1904;0;0;0;0;0;0;0;0;474;0;0;1430;0;0;-694;0;0;0;0;0;-220;0;0;-474;0;0;0;0;0;0;0;0;0;0;0;1210;0;0
