帐户;分帐户;成本中心;金额
160402;40010011;;246636
160402;40010012;;13200
160402;40010013;;371469.22
160402;40010014;;477009
160402;40010015;;27333
160402;40010016;;1035000
160409;40090001;;42000
160409;40090002;;40449.6
160409;40090003;;261000
160601;;;0
160602;;;0
160603;;;0
160604;;;0
170101;;;10313716.08
170102;45000001;;380416.79
170102;45000002;;56620.77
170102;45000003;;373500
170102;45000004;;103185.76
170102;45000005;;48600
170102;45000006;;145962
170102;45000007;;216546.63
170102;45000008;;173442.5
170102;45000009;;701372
170102;45000010;;139586.68
170103;45010001;;661307.5
170104;45020001;;246856.74
170104;45020002;;118671.6
170104;45020003;;209589.21
170104;45020004;;136483.88
170104;45020005;;353674.35
170104;45020006;;132261.5
170104;45020007;;82893.12
17011;;;0
17012;;;0
17013;;;0
17014;;;0
18011;;;0
18012001;;;0
18012002;;;0
18012003;;;0
18012004;;;0
18012005;;;0
18012006;;;0
18012007;;;0
18012008;;;0
18012009;;;0
18012010;;;0
18013001;;;0
18013002;;;0
18014002;;;0
18014003;;;0
18014004;;;0
18014005;;;0
18014006;;;0
18014007;;;0
18014008;;;0
18014009;;;0
18014010;;;0
18014011;;;0
18014012;;;0
1811;;;163737.83
19012;;;0
19013;;;0
200101;20000001;;-20000000
200101;20000003;;-50000000
200101;20000004;;0
200102;20000007;;-56152000
2101011;;;0
2101021;;;0
2101031;;;0
2101041;;;0
2101051;;;0
2101061;;;0
2101071;;;0
2101081;;;0
2111;691020;;0
2111;698002;;0
2111;698023;;0
2111;698036;;0
212111;691001;;0
212111;691002;;0
212111;691003;;0
212111;691004;;0
212111;691008;;0
212111;691009;;0
212111;691010;;0
212111;691012;;0
212111;691013;;0
212111;691015;;0
212111;691016;;0
212111;691017;;0
212111;691018;;0
212111;691020;;0
212111;691021;;0
212111;691022;;0
212111;691023;;0
212111;691024;;0
212111;691025;;0
212111;691026;;0
212111;691028;;0
212111;691029;;0
212111;691031;;0
212111;691032;;0
212111;691033;;0
212111;691035;;0
212111;691036;;0
212111;691037;;0
212111;691038;;0
212111;691039;;0
212111;691040;;0
212111;691041;;0
212111;691042;;0
212111;691044;;0
212111;691045;;0
212111;691046;;0
212111;691047;;0
212111;691048;;0
212111;691049;;0
212111;691050;;0
212111;691051;;0
212111;691052;;0
212111;691053;;0
212111;691054;;0
212111;691055;;0
